x, y
08/10/2023 13:21,8199.99924
08/10/2023 13:22,7915.00015
08/10/2023 13:23,8034.9997
08/10/2023 13:21,7735.00014
08/10/2023 13:25,7449.99967
08/10/2023 13:19,7555.00014
08/10/2023 13:23,7285.00013
08/10/2023 13:23,7060.00012
08/10/2023 13:25,6864.99965
08/10/2023 13:27,6655.0001
08/10/2023 13:33,6489.99918
08/10/2023 13:30,6295.00009
08/10/2023 13:33,6115.00008
08/10/2023 13:32,5935.00007
08/10/2023 13:30,5814.99915
08/10/2023 13:33,5665.00006
08/10/2023 13:30,5485.00006
08/10/2023 13:32,5350.00005
08/10/2023 13:33,5139.99913
08/10/2023 13:34,4945.00004
08/10/2023 13:34,4810.00003
08/10/2023 13:33,4569.99956
08/10/2023 13:34,4315.00001
08/10/2023 13:36,4149.99909
08/10/2023 13:40,3969.99908
08/10/2023 13:37,3594.99998
08/10/2023 13:34,3804.99953
08/10/2023 13:37,3399.99952
08/10/2023 13:37,3234.99997
08/10/2023 13:37,3114.99905
08/10/2023 13:40,2889.99904
08/10/2023 13:40,2739.99995
08/10/2023 13:47,2574.99903
08/10/2023 14:02,2439.99902
08/10/2023 14:06,2244.99993
08/10/2023 14:08,2064.99993
08/10/2023 14:12,1869.99946
08/10/2023 14:09,1734.99946
08/10/2023 14:16,1539.99899
08/10/2023 14:16,1359.99898
08/10/2023 14:20,1209.99989
08/10/2023 14:25,954.99897
08/10/2023 14:27,759.99988
08/10/2023 14:43,669.99987
08/10/2023 14:49,879.99942
08/10/2023 14:56,1119.99989
08/10/2023 14:46,1194.99944
08/10/2023 14:48,1419.99944
08/10/2023 14:53,1824.99946
08/10/2023 14:56,2259.99902
08/10/2023 14:55,2634.99949
08/10/2023 15:00,2994.9995
08/10/2023 15:03,3489.99952
08/10/2023 15:03,3894.99954
08/10/2023 15:00,4254.99955
08/10/2023 15:00,4644.99911
08/10/2023 14:59,5004.99912
08/10/2023 14:57,5319.99913
08/10/2023 15:08,5679.99915
08/10/2023 15:01,6129.99917
08/10/2023 15:06,6549.99964
08/10/2023 15:07,7015.00012
08/10/2023 15:33,7029.9992
08/10/2023 15:35,7285.00013
08/10/2023 15:37,7614.99922
08/10/2023 15:36,7989.99969
08/10/2023 15:37,8169.9997
08/10/2023 15:35,8664.99972
08/10/2023 15:44,9040.00019
08/10/2023 15:47,9414.99998
08/10/2023 15:51,9774.99999
08/10/2023 15:55,10239.99978
08/10/2023 16:08,9774.99999
08/10/2023 16:15,9625.00021
08/10/2023 16:17,9400.00021
08/10/2023 16:17,9054.99996
08/10/2023 16:19,8694.99926
08/10/2023 16:20,8514.99926
08/10/2023 16:17,8320.00016
08/10/2023 16:17,8109.99924
08/10/2023 16:22,7809.99969
08/10/2023 16:20,7555.00014
08/10/2023 16:20,7359.99967
08/10/2023 16:29,7074.9992
08/10/2023 16:27,6790.00011
08/10/2023 16:30,6444.99918
08/10/2023 16:31,6160.00008
08/10/2023 16:29,5919.99962
08/10/2023 16:29,5665.00006
08/10/2023 16:27,5379.99959
08/10/2023 16:23,5154.99959
08/10/2023 16:30,4929.99958
08/10/2023 16:35,4659.99957
08/10/2023 16:51,4360.00001
08/10/2023 17:02,4180.00001
08/10/2023 17:03,3804.99953
08/10/2023 17:04,3564.99907
08/10/2023 17:09,3219.99951
08/10/2023 17:09,3069.99905
08/10/2023 17:10,2694.99995
08/10/2023 17:13,2424.99994
08/10/2023 17:13,2184.99947
08/10/2023 17:17,1914.99946
08/10/2023 17:21,1704.99991
08/10/2023 17:38,1374.99944
08/10/2023 17:45,1734.99946
08/10/2023 17:50,2349.99902
08/10/2023 17:49,2094.99947
08/10/2023 17:56,2739.99995
08/10/2023 17:58,2979.99905
08/10/2023 17:54,3309.99952
08/10/2023 18:05,3624.99953
08/10/2023 18:18,3804.99953
08/10/2023 18:22,3039.99951
08/10/2023 18:29,3234.99997
08/10/2023 18:29,3684.99999
08/10/2023 18:29,4074.99955
08/10/2023 18:33,4344.99956
08/10/2023 18:33,4765.00003
08/10/2023 18:38,5035.00004
